id,date,subject,title,contexte-election,contexte-tour,cote,departement,departement-nom,departement-insee,identifiant de circonscription,images,pdf,ocr_url,titulaire-nom,titulaire-prenom,titulaire-sexe,titulaire-age,titulaire-age-calcule,titulaire-age-tranche,titulaire-profession,titulaire-mandat-en-cours,titulaire-mandat-passe,titulaire-associations,titulaire-autres-statuts,titulaire-soutien,titulaire-liste,titulaire-decorations,suppleant-nom,suppleant-prenom,suppleant-sexe,suppleant-age,suppleant-age-calcule,suppleant-age-tranche,suppleant-profession,suppleant-mandat-en-cours,suppleant-mandat-passe,suppleant-associations,suppleant-autres-statuts,suppleant-soutien,suppleant-liste,suppleant-decorations
"EL136_L_1981_06_069_07_1_PF_05","1981-06-14","Élections législatives;Assemblée Nationale;Ve République;France","Élections législatives de 1981, Rhône - 69, circonscription n°07 : profession de foi de Nicole Pasquier au tour 1","législatives","1","EL136","69","Rhône","69 - Rhône","7","https://ia801800.us.archive.org/14/items/EL136_L_1981_06_069_07_1_PF_05/EL136_L_1981_06_069_07_1_PF_05_000.jpg;https://ia801800.us.archive.org/14/items/EL136_L_1981_06_069_07_1_PF_05/EL136_L_1981_06_069_07_1_PF_05_001.jpg","https://ia801800.us.archive.org/14/items/EL136_L_1981_06_069_07_1_PF_05/EL136_L_1981_06_069_07_1_PF_05.pdf","https://ia801800.us.archive.org/14/items/EL136_L_1981_06_069_07_1_PF_05/EL136_L_1981_06_069_07_1_PF_05_djvu.txt","Pasquier","Nicole","femme","non mentionné","non mentionné","non mentionné","médecin","maire-adjoint","secrétaire d'Etat;conseiller municipal","non mentionné","non mentionné","non mentionné","non mentionné","non","Schmitt","Michel","homme","37","37","entre 30 et 39 ans","formateur","non mentionné","non mentionné","non mentionné","non mentionné","non mentionné","non mentionné","non"
"EL136_L_1981_06_069_07_1_PF_06","1981-06-14","France;Élections législatives;Ve République;Assemblée Nationale","Élections législatives de 1981, Rhône - 69, circonscription n°07 : profession de foi de Richard Pichon au tour 1","législatives","1","EL136","69","Rhône","69 - Rhône","7","https://ia601808.us.archive.org/9/items/EL136_L_1981_06_069_07_1_PF_06/EL136_L_1981_06_069_07_1_PF_06_000.jpg;https://ia601808.us.archive.org/9/items/EL136_L_1981_06_069_07_1_PF_06/EL136_L_1981_06_069_07_1_PF_06_001.jpg","https://ia601808.us.archive.org/9/items/EL136_L_1981_06_069_07_1_PF_06/EL136_L_1981_06_069_07_1_PF_06.pdf","https://ia601808.us.archive.org/9/items/EL136_L_1981_06_069_07_1_PF_06/EL136_L_1981_06_069_07_1_PF_06_djvu.txt","Pichon","Richard","homme","non mentionné","non mentionné","non mentionné","libraire","non mentionné","non mentionné","non mentionné","non mentionné","non mentionné","Rassemblement démocrate pour le progrès","non","Coste","Lucien","homme","non mentionné","non mentionné","non mentionné","ingénieur","non mentionné","non mentionné","non mentionné","non mentionné","non mentionné","Rassemblement démocrate pour le progrès","non"
"EL136_L_1981_06_069_07_1_PF_07","1981-06-14","Élections législatives;France;Ve République;Assemblée Nationale","Élections législatives de 1981, Rhône - 69, circonscription n°07 : profession de foi de Jean Rigaud au tour 1","législatives","1","EL136","69","Rhône","69 - Rhône","7","https://ia903408.us.archive.org/1/items/EL136_L_1981_06_069_07_1_PF_07/EL136_L_1981_06_069_07_1_PF_07_000.jpg;https://ia903408.us.archive.org/1/items/EL136_L_1981_06_069_07_1_PF_07/EL136_L_1981_06_069_07_1_PF_07_001.jpg","https://ia903408.us.archive.org/1/items/EL136_L_1981_06_069_07_1_PF_07/EL136_L_1981_06_069_07_1_PF_07.pdf","https://ia903408.us.archive.org/1/items/EL136_L_1981_06_069_07_1_PF_07/EL136_L_1981_06_069_07_1_PF_07_djvu.txt","Rigaud","Jean","homme","55","55","entre 50 et 59 ans","ingénieur","maire","conseiller municipal","sports et loisirs","non mentionné","non mentionné","Union pour une nouvelle majorité","oui","Dugoujon","non mentionné","homme","non mentionné","non mentionné","non mentionné","non mentionné","maire;conseiller général","député sortant","non mentionné","non mentionné","non mentionné","Union pour une nouvelle majorité","non"
"EL136_L_1981_06_069_08_1_PF_01","1981-06-14","Assemblée Nationale;France;Élections législatives;Ve République","Élections législatives de 1981, Rhône - 69, circonscription n°08 : profession de foi de Emmanuel Hamel au tour 1","législatives","1","EL136","69","Rhône","69 - Rhône","8","https://ia803404.us.archive.org/18/items/EL136_L_1981_06_069_08_1_PF_01/EL136_L_1981_06_069_08_1_PF_01_000.jpg;https://ia803404.us.archive.org/18/items/EL136_L_1981_06_069_08_1_PF_01/EL136_L_1981_06_069_08_1_PF_01_001.jpg","https://ia803404.us.archive.org/18/items/EL136_L_1981_06_069_08_1_PF_01/EL136_L_1981_06_069_08_1_PF_01.pdf","https://ia803404.us.archive.org/18/items/EL136_L_1981_06_069_08_1_PF_01/EL136_L_1981_06_069_08_1_PF_01_djvu.txt","Hamel","Emmanuel","homme","non mentionné","non mentionné","non mentionné","conseiller Cour des comptes","conseiller municipal","député sortant","non mentionné","non mentionné","non mentionné","Union pour une nouvelle majorité","oui","Rollet","Albert","homme","non mentionné","non mentionné","non mentionné","responsable service","maire;conseiller général;conseiller régional","non mentionné","professionnel","non mentionné","non mentionné","Union pour une nouvelle majorité","non"
"EL136_L_1981_06_069_08_1_PF_02","1981-06-14","Assemblée Nationale;Élections législatives;Ve République;France","Élections législatives de 1981, Rhône - 69, circonscription n°08 : profession de foi de Camille Vallin au tour 1","législatives","1","EL136","69","Rhône","69 - Rhône","8","https://ia803402.us.archive.org/16/items/EL136_L_1981_06_069_08_1_PF_02/EL136_L_1981_06_069_08_1_PF_02_000.jpg;https://ia803402.us.archive.org/16/items/EL136_L_1981_06_069_08_1_PF_02/EL136_L_1981_06_069_08_1_PF_02_001.jpg","https://ia803402.us.archive.org/16/items/EL136_L_1981_06_069_08_1_PF_02/EL136_L_1981_06_069_08_1_PF_02.pdf","https://ia803402.us.archive.org/16/items/EL136_L_1981_06_069_08_1_PF_02/EL136_L_1981_06_069_08_1_PF_02_djvu.txt","Vallin","Camille","homme","non mentionné","non mentionné","non mentionné","contrôleur PTT","maire;conseiller général;conseiller régional;sénateur","député","professionnel","combattant;résistant","Parti communiste français","Majorité d'union de la gauche","oui","Tissot","Roger","homme","non mentionné","non mentionné","non mentionné","directeur-adjoint","maire","non mentionné","non mentionné","non mentionné","Parti communiste français","Majorité d'union de la gauche","non"
"EL136_L_1981_06_069_08_1_PF_03","1981-06-14","Élections législatives;Ve République;France;Assemblée Nationale","Élections législatives de 1981, Rhône - 69, circonscription n°08 : profession de foi de Jean-Loup Fleuret au tour 1","législatives","1","EL136","69","Rhône","69 - Rhône","8","https://ia601809.us.archive.org/20/items/EL136_L_1981_06_069_08_1_PF_03/EL136_L_1981_06_069_08_1_PF_03_000.jpg;https://ia601809.us.archive.org/20/items/EL136_L_1981_06_069_08_1_PF_03/EL136_L_1981_06_069_08_1_PF_03_001.jpg","https://ia601809.us.archive.org/20/items/EL136_L_1981_06_069_08_1_PF_03/EL136_L_1981_06_069_08_1_PF_03.pdf","https://ia601809.us.archive.org/20/items/EL136_L_1981_06_069_08_1_PF_03/EL136_L_1981_06_069_08_1_PF_03_djvu.txt","Fleuret","Jean-Loup","homme","non mentionné","non mentionné","non mentionné","non mentionné","non mentionné","non mentionné","non mentionné","non mentionné","non mentionné","Aujourd'hui l'écologie","non","Caterini","Richard","homme","non mentionné","non mentionné","non mentionné","non mentionné","non mentionné","non mentionné","non mentionné","non mentionné","non mentionné","Aujourd'hui l'écologie","non"
"EL136_L_1981_06_069_08_1_PF_04","1981-06-14","Assemblée Nationale;France;Ve République;Élections législatives","Élections législatives de 1981, Rhône - 69, circonscription n°08 : profession de foi de Gabriel Montcharmont au tour 1","législatives","1","EL136","69","Rhône","69 - Rhône","8","https://ia801809.us.archive.org/16/items/EL136_L_1981_06_069_08_1_PF_04/EL136_L_1981_06_069_08_1_PF_04_000.jpg;https://ia801809.us.archive.org/16/items/EL136_L_1981_06_069_08_1_PF_04/EL136_L_1981_06_069_08_1_PF_04_001.jpg","https://ia801809.us.archive.org/16/items/EL136_L_1981_06_069_08_1_PF_04/EL136_L_1981_06_069_08_1_PF_04.pdf","https://ia801809.us.archive.org/16/items/EL136_L_1981_06_069_08_1_PF_04/EL136_L_1981_06_069_08_1_PF_04_djvu.txt","Montcharmont","Gabriel","homme","non mentionné","non mentionné","non mentionné","professeur","maire-adjoint","non mentionné","non mentionné","non mentionné","Parti socialiste","Majorité de la France","non","Chevalier","Christian","homme","non mentionné","non mentionné","non mentionné","inspecteur PTT","conseiller municipal","non mentionné","non mentionné","non mentionné","Parti socialiste","Majorité de la France","non"
"EL136_L_1981_06_069_09_1_PF_01","1981-06-14","Ve République;Assemblée Nationale;France;Élections législatives","Élections législatives de 1981, Rhône - 69, circonscription n°09 : profession de foi de Alain Mayoud au tour 1","législatives","1","EL136","69","Rhône","69 - Rhône","9","https://ia801800.us.archive.org/13/items/EL136_L_1981_06_069_09_1_PF_01/EL136_L_1981_06_069_09_1_PF_01_000.jpg;https://ia801800.us.archive.org/13/items/EL136_L_1981_06_069_09_1_PF_01/EL136_L_1981_06_069_09_1_PF_01_001.jpg","https://ia801800.us.archive.org/13/items/EL136_L_1981_06_069_09_1_PF_01/EL136_L_1981_06_069_09_1_PF_01.pdf","https://ia801800.us.archive.org/13/items/EL136_L_1981_06_069_09_1_PF_01/EL136_L_1981_06_069_09_1_PF_01_djvu.txt","Mayoud","Alain","homme","non mentionné","non mentionné","non mentionné","non mentionné","maire","député sortant","non mentionné","non mentionné","Union pour la démocratie française;Rassemblement pour la République","non mentionné","non","Auplat","Alain","homme","non mentionné","non mentionné","non mentionné","non mentionné","maire","non mentionné","non mentionné","non mentionné","Union pour la démocratie française;Rassemblement pour la République","non mentionné","non"
"EL136_L_1981_06_069_09_1_PF_02","1981-06-14","Élections législatives;Ve République;Assemblée Nationale;France","Élections législatives de 1981, Rhône - 69, circonscription n°09 : profession de foi de Georges Vinson au tour 1","législatives","1","EL136","69","Rhône","69 - Rhône","9","https://ia903400.us.archive.org/21/items/EL136_L_1981_06_069_09_1_PF_02/EL136_L_1981_06_069_09_1_PF_02_000.jpg;https://ia903400.us.archive.org/21/items/EL136_L_1981_06_069_09_1_PF_02/EL136_L_1981_06_069_09_1_PF_02_001.jpg","https://ia903400.us.archive.org/21/items/EL136_L_1981_06_069_09_1_PF_02/EL136_L_1981_06_069_09_1_PF_02.pdf","https://ia903400.us.archive.org/21/items/EL136_L_1981_06_069_09_1_PF_02/EL136_L_1981_06_069_09_1_PF_02_djvu.txt","Vinson","Georges","homme","non mentionné","non mentionné","non mentionné","médecin","maire","député sortant","non mentionné","non mentionné","Mouvement des radicaux de gauche","non mentionné","non","Triboulet","Charles","homme","non mentionné","non mentionné","non mentionné","agriculteur","non mentionné","non mentionné","syndicat","non mentionné","Mouvement des radicaux de gauche","non mentionné","non"
"EL136_L_1981_06_069_09_1_PF_03","1981-06-14","France;Élections législatives;Assemblée Nationale;Ve République","Élections législatives de 1981, Rhône - 69, circonscription n°09 : profession de foi de Henri Papot au tour 1","législatives","1","EL136","69","Rhône","69 - Rhône","9","https://ia601805.us.archive.org/15/items/EL136_L_1981_06_069_09_1_PF_03/EL136_L_1981_06_069_09_1_PF_03_000.jpg;https://ia601805.us.archive.org/15/items/EL136_L_1981_06_069_09_1_PF_03/EL136_L_1981_06_069_09_1_PF_03_001.jpg","https://ia601805.us.archive.org/15/items/EL136_L_1981_06_069_09_1_PF_03/EL136_L_1981_06_069_09_1_PF_03.pdf","https://ia601805.us.archive.org/15/items/EL136_L_1981_06_069_09_1_PF_03/EL136_L_1981_06_069_09_1_PF_03_djvu.txt","Papot","Henri","homme","non mentionné","non mentionné","non mentionné","ouvrier","maire","non mentionné","non précisé","non mentionné","Parti communiste français","Majorité d'union de la gauche","non","Barrel","Joseph","homme","non mentionné","non mentionné","non mentionné","directeur école","maire-adjoint","non mentionné","syndicat","non mentionné","Parti communiste français","Majorité d'union de la gauche","non"
